run,g,MAE_J2,MAE_JZ,MAE_JDM,MAE_J3,MSE_J2,MSE_JZ,MSE_JDM,MSE_J3,FID_J2,FID_JZ,FID_JDM,FID_J3
5,2.8000000000000003,0.1242,0.0907,0.1996,0.1482,0.0252,0.0132,0.062,0.0327,0.866,0.9283,0.6337,0.8675
5,2.9000000000000004,0.1323,0.0995,0.227,0.1444,0.0276,0.0158,0.0838,0.031,0.8536,0.9198,0.5151,0.8652
5,3.0,0.1457,0.1092,0.2027,0.1465,0.0326,0.0201,0.0717,0.0336,0.8257,0.8911,0.5779,0.8633
6,0.0,0.0247,0.0199,0.0534,0.0301,0.0011,0.0007,0.0076,0.0017,0.9942,0.9956,0.9584,0.9922
6,0.1,0.0251,0.0197,0.0539,0.0303,0.0012,0.0007,0.0079,0.0018,0.994,0.9957,0.9565,0.9922
6,0.2,0.026,0.0197,0.0543,0.0306,0.0013,0.0007,0.0078,0.0018,0.9934,0.9959,0.957,0.9918
6,0.30000000000000004,0.0266,0.023,0.0617,0.0311,0.0013,0.0009,0.0092,0.0018,0.9936,0.9945,0.9482,0.9919
6,0.4,0.0267,0.0224,0.0604,0.0342,0.0013,0.0009,0.0092,0.0023,0.9935,0.9948,0.9495,0.9893
6,0.5,0.0325,0.0253,0.0731,0.0369,0.0017,0.001,0.0115,0.0025,0.9916,0.9941,0.9324,0.9884
6,0.6000000000000001,0.0319,0.0272,0.0766,0.0382,0.0017,0.0012,0.0115,0.0026,0.9915,0.9924,0.9346,0.9871
6,0.7000000000000001,0.0395,0.03,0.0856,0.0393,0.0025,0.0014,0.0137,0.0027,0.988,0.9916,0.92,0.9873
6,0.8,0.0397,0.0352,0.0812,0.044,0.0025,0.0022,0.0139,0.0033,0.9884,0.9864,0.9178,0.9858
6,0.9,0.0484,0.0342,0.0985,0.0497,0.0038,0.0018,0.0192,0.0042,0.9828,0.9894,0.8827,0.9806
6,1.0,0.0537,0.0377,0.098,0.0566,0.0044,0.0024,0.0186,0.005,0.9792,0.9858,0.8867,0.9774
6,1.1,0.0533,0.0418,0.1099,0.0604,0.0045,0.0028,0.0224,0.0058,0.9783,0.9832,0.8662,0.974
6,1.2000000000000002,0.0584,0.0429,0.1277,0.0657,0.0056,0.0027,0.028,0.0071,0.9728,0.9833,0.8284,0.9708
6,1.3,0.0533,0.0502,0.1197,0.0637,0.0047,0.004,0.0272,0.0061,0.9791,0.976,0.8375,0.9746
