run,g,MAE_J2,MAE_JZ,MAE_JDM,MAE_J3,MSE_J2,MSE_JZ,MSE_JDM,MSE_J3,FID_J2,FID_JZ,FID_JDM,FID_J3
3,0.4,0.0308,0.0318,0.0812,0.0322,0.0014,0.0016,0.0136,0.0018,0.9917,0.9904,0.9221,0.9914
3,0.5,0.037,0.0365,0.0911,0.0366,0.0022,0.0021,0.0156,0.0022,0.9874,0.9871,0.9101,0.9909
3,0.6000000000000001,0.0392,0.0401,0.1046,0.046,0.0025,0.0027,0.021,0.0036,0.9858,0.9841,0.8738,0.9831
3,0.7000000000000001,0.0449,0.0427,0.1262,0.0513,0.003,0.0031,0.0279,0.0041,0.9836,0.9814,0.8249,0.9809
3,0.8,0.0495,0.0481,0.129,0.0667,0.0042,0.0038,0.0312,0.0066,0.9775,0.9784,0.8053,0.9702
3,0.9,0.0542,0.0566,0.1444,0.0701,0.0049,0.0051,0.0365,0.0074,0.9742,0.9705,0.7824,0.9689
3,1.0,0.0636,0.0612,0.1484,0.0791,0.0062,0.0059,0.0361,0.0103,0.9663,0.9657,0.7797,0.9591
3,1.1,0.0665,0.0624,0.1573,0.0898,0.0071,0.0066,0.0432,0.0127,0.9606,0.9612,0.7477,0.9444
3,1.2000000000000002,0.0797,0.0675,0.157,0.1037,0.0093,0.0071,0.0456,0.0158,0.9524,0.9596,0.7433,0.937
3,1.3,0.0885,0.0815,0.1887,0.1081,0.012,0.0111,0.0618,0.0182,0.9354,0.9401,0.6404,0.9208
3,1.4000000000000001,0.0976,0.0851,0.1846,0.1125,0.0144,0.0112,0.0588,0.0193,0.9265,0.9374,0.641,0.9217
3,1.5,0.1025,0.0885,0.2192,0.13,0.0156,0.0119,0.0788,0.0247,0.9115,0.9345,0.4992,0.9024
3,1.6,0.12,0.0888,0.2218,0.1443,0.0222,0.0121,0.0802,0.0303,0.8718,0.9314,0.505,0.8765
3,1.7000000000000002,0.1073,0.1052,0.195,0.1412,0.0183,0.0171,0.0586,0.0289,0.8949,0.9035,0.6552,0.8837
3,1.8,0.1282,0.0999,0.2106,0.1488,0.0235,0.0163,0.0704,0.0347,0.8654,0.9081,0.5789,0.88
3,1.9000000000000001,0.1354,0.1081,0.2328,0.1664,0.0268,0.0174,0.088,0.039,0.8463,0.9142,0.4379,0.8364
3,2.0,0.1371,0.1282,0.2206,0.17,0.0275,0.0237,0.0744,0.0418,0.8391,0.8701,0.5626,0.8401
3,2.1,0.1492,0.1257,0.2462,0.1686,0.033,0.0237,0.097,0.0464,0.8002,0.869,0.4798,0.8334
3,2.2,0.1408,0.1309,0.2281,0.1727,0.032,0.0261,0.0827,0.044,0.8084,0.8727,0.5291,0.8421
3,2.3000000000000003,0.1482,0.1243,0.249,0.1824,0.0337,0.0227,0.1007,0.0511,0.7985,0.8788,0.4177,0.7834
3,2.4000000000000004,0.1416,0.1349,0.2419,0.2159,0.0281,0.0273,0.0958,0.0698,0.8395,0.8439,0.3912,0.699
3,2.5,0.1505,0.1358,0.2549,0.1959,0.035,0.0269,0.0999,0.0565,0.7959,0.8525,0.4598,0.7876
3,2.6,0.1493,0.1371,0.2761,0.2074,0.0358,0.0289,0.1212,0.062,0.7769,0.8446,0.2586,0.7449
3,2.7,0.1744,0.1555,0.2765,0.1997,0.0447,0.037,0.1224,0.0622,0.7004,0.7899,0.363,0.6921
3,2.8000000000000003,0.1614,0.1407,0.271,0.2081,0.0384,0.0328,0.1103,0.0625,0.7549,0.8007,0.3645,0.7484
3,2.9000000000000004,0.1656,0.1594,0.2514,0.2306,0.0417,0.0397,0.0943,0.0788,0.7404,0.7868,0.3861,0.6233
3,3.0,0.1857,0.1591,0.2892,0.2387,0.055,0.0384,0.1335,0.0822,0.62,0.7808,0.3566,0.6044
4,0.0,0.0207,0.022,0.0506,0.0245,0.0008,0.0009,0.0072,0.0012,0.9955,0.9945,0.9598,0.994
4,0.1,0.0214,0.0233,0.0517,0.025,0.0009,0.001,0.0078,0.0013,0.9951,0.9938,0.9566,0.9938
4,0.2,0.022,0.0263,0.0665,0.0276,0.0009,0.0011,0.0106,0.0016,0.9947,0.9931,0.9401,0.9919
4,0.30000000000000004,0.0264,0.0268,0.0708,0.0292,0.0011,0.0013,0.011,0.0015,0.994,0.9922,0.9376,0.9925
4,0.4,0.0324,0.0331,0.0854,0.0382,0.0016,0.0019,0.0153,0.0024,0.9907,0.9886,0.91,0.9879
4,0.5,0.0332,0.0358,0.0933,0.0359,0.0018,0.0021,0.016,0.0022,0.9897,0.9873,0.9049,0.9898
4,0.6000000000000001,0.0397,0.0396,0.0989,0.0479,0.0024,0.0026,0.019,0.0041,0.9876,0.9849,0.889,0.9802
4,0.7000000000000001,0.0466,0.0423,0.1143,0.0555,0.0033,0.0029,0.0243,0.005,0.9827,0.9827,0.8511,0.9765
4,0.8,0.0507,0.0523,0.1251,0.0597,0.0041,0.0043,0.0289,0.0056,0.9778,0.9742,0.8241,0.9787
4,0.9,0.0631,0.0521,0.1344,0.0705,0.006,0.0043,0.0303,0.0082,0.9668,0.975,0.8114,0.9667
4,1.0,0.0625,0.0617,0.1308,0.0735,0.0058,0.006,0.0297,0.0106,0.9698,0.9686,0.8137,0.9517
4,1.1,0.072,0.063,0.17,0.0878,0.0087,0.0067,0.0494,0.0115,0.9559,0.9646,0.7144,0.957
4,1.2000000000000002,0.0768,0.0667,0.1724,0.0961,0.0085,0.0074,0.0473,0.0151,0.9582,0.9595,0.7095,0.9422
4,1.3,0.086,0.0829,0.1789,0.1179,0.0109,0.0107,0.0507,0.0202,0.9412,0.9371,0.6971,0.9271
4,1.4000000000000001,0.086,0.0795,0.1927,0.1191,0.0123,0.0104,0.0581,0.023,0.9326,0.9417,0.6585,0.9106
4,1.5,0.1024,0.0888,0.2075,0.1221,0.0168,0.0117,0.0723,0.0218,0.9035,0.9364,0.5781,0.9209
4,1.6,0.1012,0.0856,0.1988,0.1372,0.016,0.012,0.0677,0.0302,0.9111,0.9415,0.5718,0.8841
4,1.7000000000000002,0.1127,0.1026,0.1956,0.137,0.0193,0.0175,0.0598,0.0287,0.892,0.8982,0.6288,0.8977
4,1.8,0.1149,0.1006,0.2119,0.1569,0.0194,0.016,0.0733,0.038,0.8899,0.9082,0.5515,0.8424
4,1.9000000000000001,0.1184,0.1118,0.2046,0.165,0.0211,0.02,0.066,0.0391,0.8951,0.8863,0.5808,0.8413
4,2.0,0.1378,0.1269,0.1968,0.1633,0.0291,0.0273,0.0654,0.0385,0.8403,0.8617,0.6298,0.8462
4,2.1,0.1417,0.1129,0.2295,0.183,0.0305,0.0208,0.0792,0.0506,0.8186,0.8753,0.489,0.7717
4,2.2,0.1347,0.1382,0.2475,0.1745,0.0291,0.0296,0.0918,0.0445,0.8224,0.8266,0.4073,0.8148
4,2.3000000000000003,0.1413,0.1293,0.2452,0.1837,0.0315,0.0269,0.0897,0.0551,0.8146,0.8683,0.4329,0.7496
4,2.4000000000000004,0.1469,0.1328,0.2324,0.206,0.0337,0.027,0.0821,0.0627,0.803,0.8777,0.5235,0.7144
4,2.5,0.1532,0.1519,0.2458,0.1916,0.036,0.0337,0.0947,0.0581,0.7818,0.8237,0.4505,0.7562
4,2.6,0.1481,0.1358,0.2444,0.2053,0.033,0.0311,0.092,0.0602,0.8002,0.8246,0.4833,0.7232
4,2.7,0.1616,0.1353,0.2526,0.2228,0.04,0.0287,0.1045,0.0711,0.7446,0.8478,0.4197,0.6865
4,2.8000000000000003,0.1705,0.1415,0.261,0.2159,0.0443,0.0305,0.1078,0.0703,0.7066,0.8401,0.5168,0.6993
4,2.9000000000000004,0.1566,0.1438,0.2653,0.2025,0.0387,0.0333,0.1057,0.0602,0.7557,0.8111,0.3882,0.7422
4,3.0,0.1742,0.157,0.2854,0.2253,0.0479,0.0387,0.1207,0.0771,0.7117,0.7847,0.2916,0.6495
5,0.0,0.0207,0.022,0.0506,0.0245,0.0008,0.0009,0.0072,0.0012,0.9955,0.9945,0.9598,0.994
5,0.1,0.0206,0.0228,0.0544,0.0249,0.0008,0.001,0.0078,0.0012,0.9954,0.994,0.9562,0.994
5,0.2,0.0234,0.0253,0.0594,0.0278,0.001,0.0011,0.0079,0.0015,0.9946,0.9933,0.956,0.9927
5,0.30000000000000004,0.027,0.0281,0.0677,0.0288,0.0012,0.0013,0.0103,0.0016,0.9932,0.9924,0.9407,0.9922
5,0.4,0.0276,0.0301,0.0847,0.0342,0.0012,0.0015,0.0147,0.002,0.9932,0.991,0.9147,0.9899
5,0.5,0.0353,0.0341,0.0937,0.0386,0.0018,0.002,0.0171,0.0024,0.9899,0.9879,0.9052,0.9889
5,0.6000000000000001,0.0438,0.0401,0.1016,0.0441,0.0028,0.0025,0.0191,0.0033,0.9852,0.9848,0.8906,0.9844
5,0.7000000000000001,0.0444,0.0469,0.1155,0.0523,0.003,0.0034,0.0247,0.0049,0.9836,0.9804,0.8516,0.9764
5,0.8,0.052,0.0524,0.121,0.0567,0.0041,0.0043,0.0265,0.0053,0.9801,0.9745,0.8417,0.9784
5,0.9,0.0609,0.0535,0.1363,0.074,0.0056,0.0049,0.0326,0.009,0.9692,0.9718,0.7988,0.9609
5,1.0,0.063,0.0567,0.167,0.0839,0.006,0.0051,0.0481,0.0118,0.9681,0.9698,0.6825,0.9447
5,1.1,0.0797,0.0622,0.1606,0.0894,0.0103,0.0063,0.0433,0.0131,0.9464,0.9641,0.7346,0.9457
5,1.2000000000000002,0.0751,0.0684,0.1542,0.0992,0.0095,0.0074,0.041,0.0151,0.9488,0.9567,0.7436,0.948
5,1.3,0.0793,0.0734,0.1549,0.1004,0.0095,0.0087,0.0401,0.0151,0.9496,0.9481,0.7415,0.9439
5,1.4000000000000001,0.1019,0.0736,0.1871,0.1115,0.0162,0.0091,0.0579,0.0202,0.9113,0.9516,0.6444,0.9152
5,1.5,0.0932,0.084,0.1786,0.1181,0.0138,0.0106,0.0538,0.0211,0.926,0.943,0.6683,0.9271
5,1.6,0.1073,0.0945,0.1831,0.1327,0.0172,0.0135,0.057,0.0299,0.9109,0.9296,0.6332,0.8681
5,1.7000000000000002,0.116,0.0934,0.2139,0.147,0.021,0.0137,0.0705,0.0327,0.8823,0.9318,0.5429,0.8789
5,1.8,0.1253,0.109,0.2092,0.159,0.023,0.0196,0.0669,0.0385,0.8701,0.8882,0.5832,0.8502
5,1.9000000000000001,0.1283,0.1158,0.2229,0.1483,0.0235,0.0206,0.0778,0.0356,0.871,0.8788,0.4753,0.8629
5,2.0,0.1339,0.1115,0.2345,0.1628,0.028,0.0199,0.0859,0.037,0.8318,0.8956,0.5179,0.8546
5,2.1,0.1261,0.1237,0.2286,0.1667,0.026,0.0253,0.0782,0.0437,0.8438,0.8502,0.5285,0.8428
5,2.2,0.1278,0.1164,0.2398,0.1734,0.0243,0.0244,0.0926,0.0428,0.8556,0.8612,0.4183,0.8274
5,2.3000000000000003,0.1302,0.1312,0.239,0.1826,0.0259,0.0263,0.0867,0.0482,0.8501,0.8699,0.46,0.796
5,2.4000000000000004,0.1534,0.1276,0.2436,0.1955,0.0346,0.0248,0.0909,0.0556,0.7801,0.8631,0.4176,0.7446
5,2.5,0.157,0.141,0.247,0.2075,0.0375,0.0292,0.0968,0.0653,0.7584,0.8319,0.4492,0.7042
5,2.6,0.1527,0.1447,0.2545,0.2089,0.0371,0.0319,0.0996,0.0642,0.7615,0.8236,0.4782,0.6889
5,2.7,0.1574,0.151,0.2673,0.1974,0.0379,0.0366,0.1032,0.0613,0.7646,0.7938,0.4498,0.7494
5,2.8000000000000003,0.1751,0.1365,0.2602,0.2077,0.0453,0.0288,0.1035,0.0656,0.7017,0.8611,0.4414,0.7023
5,2.9000000000000004,0.1832,0.1657,0.2857,0.219,0.0484,0.0399,0.1204,0.0689,0.6722,0.7989,0.2563,0.6934
5,3.0,0.1804,0.1641,0.2711,0.2217,0.0486,0.041,0.1174,0.0731,0.6876,0.7763,0.3347,0.654
6,0.0,0.0207,0.022,0.0506,0.0245,0.0008,0.0009,0.0072,0.0012,0.9955,0.9945,0.9598,0.994
6,0.1,0.0208,0.0224,0.0539,0.0247,0.0008,0.001,0.0077,0.0013,0.9954,0.9942,0.9567,0.9939
6,0.2,0.0238,0.0255,0.0646,0.0262,0.0009,0.0012,0.0095,0.0013,0.9947,0.9928,0.9457,0.9935
6,0.30000000000000004,0.026,0.0295,0.0727,0.0281,0.0011,0.0015,0.0115,0.0015,0.9937,0.9913,0.9338,0.9926
6,0.4,0.033,0.0324,0.076,0.0334,0.0016,0.0018,0.0116,0.002,0.9909,0.9889,0.9336,0.99
6,0.5,0.0369,0.0363,0.0972,0.0416,0.0021,0.0021,0.0213,0.0029,0.9883,0.9876,0.8677,0.9854
6,0.6000000000000001,0.036,0.0438,0.0944,0.0448,0.0022,0.0034,0.0173,0.0034,0.9879,0.9791,0.8995,0.9849
6,0.7000000000000001,0.0445,0.0439,0.1013,0.0491,0.003,0.0031,0.0194,0.0039,0.9832,0.9811,0.8845,0.983
6,0.8,0.0503,0.0527,0.124,0.0677,0.004,0.0043,0.0266,0.0075,0.9799,0.9743,0.8347,0.9697
6,0.9,0.0607,0.0541,0.1323,0.0659,0.0058,0.0047,0.035,0.007,0.9683,0.9736,0.7833,0.9704
6,1.0,0.0611,0.0666,0.1398,0.0779,0.0057,0.0064,0.0353,0.009,0.9705,0.9633,0.7818,0.9631
6,1.1,0.0747,0.0624,0.1551,0.0958,0.0084,0.0059,0.0402,0.0138,0.955,0.9668,0.743,0.9486
6,1.2000000000000002,0.0818,0.0811,0.1639,0.0984,0.011,0.0106,0.0472,0.0157,0.9403,0.9455,0.7496,0.9342
6,1.3,0.0833,0.071,0.1802,0.1013,0.011,0.008,0.05,0.0166,0.9428,0.9562,0.6884,0.9367
6,1.4000000000000001,0.0923,0.0844,0.186,0.1081,0.0137,0.0107,0.0568,0.0187,0.9278,0.9413,0.6723,0.9287
6,1.5,0.0948,0.0862,0.1767,0.1231,0.0139,0.012,0.0504,0.023,0.9199,0.9291,0.689,0.9169
